Participant,Recording,assigned_aoi,aoi_area
30,2,nose,110.86998292482346
30,2,right_eye,164.86429618998898
30,2,left_eye,266.9423018855937
30,2,nose,78.77960552307188
30,2,mouth,209.41379640134545
30,2,right_eye,192.9465273399166
30,2,left_eye,173.59574087409356
30,2,nose,71.31952885716356
30,2,mouth,142.13820292882625
30,2,right_eye,228.03145933521643
30,2,left_eye,317.1929098180585
30,2,nose,63.261115069586836
30,2,mouth,379.51451577713823
30,2,nose,643.1715465052453
36,2,left_eye,338.56859552715036
36,2,nose,209.5969651762711
36,2,nose,534.1548997459051
36,2,right_eye,386.8592321319643
36,2,left_eye,96.79820297949254
36,2,nose,45.498646375064546
36,2,mouth,238.84391851347866
36,2,right_eye,86.87703196656727
36,2,left_eye,210.40077422222143
36,2,nose,47.44516690919146
36,2,mouth,149.27702690201988
36,2,right_eye,45.866670987209105
36,2,left_eye,134.03042216629373
36,2,nose,32.56520562220568
36,2,mouth,87.53770122429148
36,2,right_eye,101.67609849527194
36,2,left_eye,82.18508689622502
36,2,nose,34.672307308898816
36,2,mouth,81.46650729960422
36,2,right_eye,237.91678904024337
36,2,left_eye,141.33261802264911
36,2,nose,53.74531888212883
36,2,mouth,155.0052740549787
36,2,right_eye,306.66293457395307
36,2,nose,268.2976415329538
36,2,mouth,617.7299788778083
36,2,right_eye,275.2371479743481
36,2,left_eye,88.8688487368845
36,2,nose,43.43160881399211
36,2,mouth,112.23686776842219
36,2,right_eye,744.5118327963438
36,2,left_eye,186.45727675976815
36,2,nose,75.61295437233852
36,2,mouth,593.4179360715495
36,2,right_eye,119.71361458871615
36,2,left_eye,676.4537332741941
36,2,nose,80.61069428032064
36,2,mouth,580.2219578567692
36,2,nose,710.3390742912663
36,2,right_eye,35.45406447044209
36,2,left_eye,74.53181022267009
36,2,nose,17.374779446892436
36,2,mouth,52.63934585999537
36,2,nose,422.49975817874815
36,2,right_eye,155.77844026283356
36,2,left_eye,499.7075221095399
36,2,nose,84.75387324580792
36,2,mouth,468.76016438181864
36,2,left_eye,362.10522766497877
36,2,nose,134.955574011015
36,2,right_eye,49.019395602931176
36,2,left_eye,44.07371589795715
36,2,nose,18.28190905421804
36,2,mouth,42.62497944489363
36,2,right_eye,96.61999537156632
36,2,left_eye,100.66948503036991
36,2,nose,33.97889448143328
36,2,mouth,88.7316251166305
36,2,right_eye,368.7787348706768
36,2,left_eye,172.7080469719832
36,2,nose,76.76634960058448
36,2,mouth,239.74686855675552
36,2,right_eye,180.1194017164393
36,2,left_eye,214.0327940238485
36,2,nose,75.95914471584783
36,2,mouth,196.88865954386438
36,2,right_eye,65.05407025720444
36,2,left_eye,96.80102911141537
36,2,nose,35.72611278545969
36,2,mouth,72.41878784592048
36,2,right_eye,250.78405594453534
36,2,left_eye,803.6191574663843
36,2,nose,88.75440637920403
36,2,mouth,676.8423802098762
36,2,right_eye,488.4862435299034
36,2,nose,251.02999542061218
36,2,mouth,793.5330293577126
36,2,right_eye,77.88164860352856
36,2,left_eye,52.03281368501631
36,2,nose,22.65305238817764
36,2,mouth,68.43248532327749
36,2,right_eye,153.40518172733337
36,2,left_eye,291.06905479215254
36,2,nose,61.696090085614635
36,2,mouth,213.82967339489943
36,2,right_eye,79.9396439037073
36,2,left_eye,44.11305996254633
